Elspot Prices in NOK/MWh,,,,,,,,,,,,,,,,,,,,,,
Data was last updated 04-05-2021,,,,,,,,,,,,,,,,,,,,,,
,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
22-01-2021,"299,61","258,06","258,06","304,64","304,64","304,64","303,09","305,36","317,80","317,80","321,60","272,47","272,47","267,48","468,95","468,95","468,95",,,,,
23-01-2021,"380,01","343,00","343,00","394,85","450,25","394,85","509,32","499,43","405,99","405,99","405,99","343,00","343,00","343,00","450,25","450,25","450,25",,,,,
24-01-2021,"461,66","493,31","493,31","493,31","493,93","493,31","507,14","507,14","493,31","493,31","493,31","467,62","467,62","317,07","493,31","493,31","497,17",,,,,
25-01-2021,"553,52","525,92","525,92","620,68","620,68","621,50","623,94","623,94","620,68","620,68","620,68","526,09","526,09","399,33","621,50","621,50","621,50",,,,,
26-01-2021,"551,48","510,43","510,43","619,83","619,83","623,52","630,61","631,35","619,83","619,83","619,83","510,43","510,43","395,94","623,52","623,52","623,52",,,,,
27-01-2021,"576,71","551,42","551,42","600,18","600,18","600,48","599,35","600,38","599,35","599,35","599,35","551,42","551,42","520,68","600,48","600,48","600,48",,,,,
28-01-2021,"592,86","580,20","580,20","606,03","606,03","614,26","584,11","606,03","592,12","584,11","584,23","577,50","577,50","577,50","614,26","614,26","614,26",,,,,
29-01-2021,"542,61","535,78","535,78","575,00","575,00","583,51","523,21","575,00","559,49","525,59","545,70","528,36","528,36","528,36","583,51","583,51","583,51",,,,,
30-01-2021,"497,52","484,13","484,13","505,16","505,36","505,16","503,07","505,36","505,16","505,16","505,16","484,13","484,13","484,13","505,16","505,16","505,36",,,,,
31-01-2021,"501,77","501,88","501,88","501,88","501,88","501,88","501,08","501,88","501,88","501,51","501,88","501,88","501,88","501,88","501,88","501,88","501,88",,,,,
1/2/2021,"774,64","868,88","868,88","896,47","896,47","903,12","597,46","896,47","895,43","600,97","867,84","868,88","868,88","868,88","903,12","903,12","903,12",,,,,
2/2/2021,"646,16","703,24","703,24","703,24","703,24","708,03","567,50","703,24","702,54","567,50","702,54","703,24","703,24","703,24","708,03","708,03","708,03",,,,,
3/2/2021,"486,58","459,82","459,82","543,53","543,53","569,72","461,49","543,53","543,53","472,41","543,53","459,82","459,82","459,82","569,72","569,72","569,72",,,,,
4/2/2021,"514,83","422,47","422,47","612,02","612,02","623,43","539,00","612,02","612,02","542,32","612,02","422,94","422,94","422,47","623,43","623,43","623,43",,,,,
5/2/2021,"574,90","473,47","473,47","813,68","813,68","820,44","531,11","813,68","813,68","531,32","813,68","474,30","474,30","364,54","820,44","820,44","820,44",,,,,
6/2/2021,"425,86","450,88","450,88","470,59","470,59","470,59","375,48","470,59","470,59","410,25","470,59","450,88","450,88","337,19","470,59","470,59","509,99",,,,,
7/2/2021,"396,24","417,68","417,68","418,15","418,15","418,15","202,72","418,15","418,15","394,65","418,15","417,68","417,68","366,92","418,15","418,15","418,15",,,,,
8/2/2021,"544,77","528,81","528,81","575,84","575,84","608,18","443,19","575,84","575,84","520,87","575,84","528,81","528,81","528,81","608,18","608,18","608,18",,,,,
9/2/2021,"668,91","641,26","641,26","711,59","711,59","736,06","655,85","711,59","711,59","655,85","711,59","641,26","641,26","616,78","736,06","736,06","736,06",,,,,
10/2/2021,"658,69","563,04","563,04","742,98","742,98","755,19","740,44","742,98","742,98","740,44","742,98","563,04","563,04","500,72","755,19","755,19","755,19",,,,,
11/2/2021,"769,36","505,12","505,12","1008,35","1008,35","1020,46","811,51","1008,35","1008,35","811,51","1008,35","505,12","505,12","505,12","1020,46","1020,46","1020,46",,,,,
12/2/2021,"505,87","412,37","412,37","829,86","829,86","846,85","641,35","829,86","824,98","641,35","824,98","412,37","412,37","409,14","846,85","846,85","846,85",,,,,
13-02-2021,"480,45","382,90","382,90","547,78","547,78","547,78","547,78","547,78","547,78","547,78","547,78","382,90","382,90","382,90","550,67","550,67","550,67",,,,,
14-02-2021,"461,90","441,83","441,83","475,54","475,54","475,54","469,29","475,54","475,54","469,28","475,54","441,83","441,83","441,83","475,54","475,54","475,54",,,,,
15-02-2021,"517,56","456,40","456,40","650,96","650,96","695,29","515,42","650,96","650,53","519,84","650,53","456,40","456,40","456,40","706,81","706,81","706,81",,,,,
16-02-2021,"541,31","467,69","467,69","625,36","625,36","650,40","533,80","625,83","557,57","533,32","557,57","467,43","467,43","467,43","669,02","669,02","669,02",,,,,
17-02-2021,"479,55","413,41","413,41","509,06","509,06","809,72","505,50","509,06","507,68","505,50","507,68","406,00","406,00","406,00","809,71","809,71","809,71",,,,,
18-02-2021,"446,08","411,87","411,87","463,94","463,94","701,87","463,89","463,94","457,50","454,70","457,50","391,30","391,30","368,53","701,87","701,83","701,83",,,,,
19-02-2021,"477,08","457,78","457,78","487,35","488,21","619,17","487,78","488,45","477,67","477,67","477,67","426,61","426,61","396,75","643,44","643,44","643,44",,,,,
20-02-2021,"373,62","372,85","372,85","372,85","374,40","487,15","348,66","374,40","372,85","368,83","372,85","371,62","371,62","369,78","561,09","561,09","561,09",,,,,
21-02-2021,"358,74","360,53","360,53","360,53","381,97","360,53","338,86","383,95","360,53","360,53","360,53","359,81","359,81","345,91","401,07","401,07","401,07",,,,,
22-02-2021,"447,78","455,59","455,59","469,79","507,97","475,25","509,32","509,81","435,29","435,29","435,29","432,75","432,75","432,75","576,27","576,27","576,27",,,,,
23-02-2021,"404,56","420,18","420,18","426,45","460,31","427,77","458,69","463,27","400,08","400,08","400,08","381,96","381,96","377,69","514,88","514,88","514,88",,,,,
24-02-2021,"323,98","311,49","311,49","331,55","353,00","386,92","324,03","353,43","331,91","331,91","331,91","311,49","311,49","311,49","427,20","427,20","427,20",,,,,
25-02-2021,"314,69","290,20","290,20","326,06","336,14","342,20","340,21","340,21","329,24","329,24","329,24","290,20","290,20","290,20","417,99","417,99","417,99",,,,,
26-02-2021,"285,74","259,54","259,54","294,33","295,25","352,34","308,42","308,42","309,92","309,92","309,92","259,54","259,54","259,54","375,11","375,11","375,11",,,,,
27-02-2021,"320,89","265,80","265,80","338,92","398,74","338,58","467,82","467,82","368,51","368,51","368,51","265,80","265,80","265,80","398,74","398,74","398,74",,,,,
28-02-2021,"292,23","247,93","247,93","300,14","330,06","299,58","427,63","427,63","359,52","359,52","359,52","247,93","247,93","247,93","324,11","324,11","330,06",,,,,
1/3/2021,"341,31","253,02","253,02","357,96","434,00","357,96","512,67","513,98","395,39","395,39","395,39","253,02","253,02","253,02","457,06","457,06","457,06",,,,,
2/3/2021,"366,97","271,63","271,63","418,14","519,97","423,11","557,43","557,43","442,64","442,64","442,64","271,63","271,63","271,63","551,90","551,90","555,14",,,,,
3/3/2021,"365,66","268,07","268,07","406,00","528,26","420,36","528,71","528,71","437,24","437,24","437,24","268,07","268,07","268,07","592,64","592,64","592,64",,,,,
4/3/2021,"370,38","271,10","271,10","451,34","545,64","462,44","546,13","546,13","425,02","425,02","425,02","271,10","271,10","271,10","538,12","538,12","575,44",,,,,
5/3/2021,"402,85","285,57","285,57","492,20","552,66","548,51","550,58","552,66","496,50","496,50","496,50","285,57","285,57","285,57","573,81","573,81","603,08",,,,,
6/3/2021,"284,17","226,35","226,35","226,35","355,07","226,35","355,99","355,07","376,27","376,27","376,27","226,35","226,35","226,35","320,56","320,56","355,07",,,,,
7/3/2021,"306,98","235,88","235,88","274,65","347,90","274,31","404,90","368,90","382,49","382,49","382,49","235,88","235,88","235,88","330,98","330,98","347,90",,,,,
8/3/2021,"467,58","290,16","290,16","568,70","622,05","571,48","627,22","627,93","582,96","582,96","582,96","290,16","290,16","290,16","571,48","571,48","622,05",,,,,
9/3/2021,"468,98","292,00","292,00","550,93","621,85","555,79","620,40","621,85","566,39","566,39","566,39","292,00","292,00","292,00","558,59","558,59","622,72",,,,,
10/3/2021,"378,03","264,55","264,55","572,34","604,89","642,78","477,45","604,89","441,76","439,16","441,76","264,55","264,55","264,55","642,78","642,78","666,24",,,,,
11/3/2021,"263,54","225,05","225,05","280,92","280,92","353,11","252,03","280,92","351,58","351,58","351,58","225,86","225,86","225,86","354,05","354,05","354,05",,,,,
12/3/2021,"314,09","263,47","263,47","287,05","298,45","358,34","224,69","303,48","361,48","361,48","361,48","263,80","263,80","263,80","362,20","362,20","365,63",,,,,
13-03-2021,"310,47","279,45","279,45","291,15","291,15","301,00","161,79","291,15","366,33","366,33","366,33","279,45","279,45","279,45","301,00","301,00","301,00",,,,,
14-03-2021,"330,84","295,97","295,97","320,89","331,14","320,89","195,45","331,14","373,14","373,14","373,14","295,97","295,97","295,97","321,63","321,63","331,14",,,,,
15-03-2021,"436,13","334,26","334,26","462,16","487,65","533,75","484,79","488,26","441,03","441,03","441,03","334,26","334,26","330,37","540,52","540,52","560,60",,,,,
16-03-2021,"439,26","310,93","310,93","477,04","562,36","536,77","563,67","563,29","480,50","480,50","480,50","310,93","310,93","306,42","556,32","556,32","597,50",,,,,
17-03-2021,"464,20","330,57","330,57","503,60","577,00","506,07","581,60","581,60","512,88","512,88","512,88","330,57","330,57","325,90","513,63","513,63","577,00",,,,,
18-03-2021,"454,81","334,63","334,63","496,30","644,35","495,03","655,63","655,63","453,81","453,81","453,81","334,63","334,63","327,64","557,57","557,57","644,35",,,,,
19-03-2021,"414,48","323,69","323,69","503,79","569,92","516,79","568,37","572,00","428,40","428,40","428,40","313,85","313,85","274,44","516,79","516,79","589,89",,,,,
20-03-2021,"293,45","222,43","222,43","233,28","438,58","232,61","426,52","439,36","385,19","385,19","385,19","222,43","222,43","222,43","232,61","232,61","438,58",,,,,
21-03-2021,"259,00","188,05","188,05","204,73","291,08","188,05","325,11","291,31","373,91","373,91","373,91","188,05","188,05","188,05","188,05","188,05","291,08",,,,,
22-03-2021,"376,26","239,78","239,78","425,76","539,99","491,19","597,66","586,09","435,02","435,02","435,02","239,61","239,61","239,61","493,29","493,29","539,99",,,,,
23-03-2021,"346,75","226,45","226,45","370,25","571,02","364,95","607,16","577,26","432,88","432,88","432,88","226,68","226,68","226,68","464,24","464,24","571,02",,,,,
24-03-2021,"316,58","213,97","213,97","305,35","511,22","305,93","534,18","535,85","402,13","402,13","402,13","213,97","213,97","213,97","398,08","398,08","516,75",,,,,
25-03-2021,"356,33","225,15","225,15","336,09","554,56","439,34","575,81","592,52","409,54","409,54","409,54","225,15","225,15","225,15","466,96","466,96","574,35",,,,,
26-03-2021,"323,52","224,23","224,23","339,20","468,11","398,31","433,96","482,55","392,77","392,77","392,77","222,70","222,70","222,64","484,19","484,19","565,74",,,,,
27-03-2021,"229,14","187,60","187,60","187,60","232,06","187,60","247,19","295,39","371,36","371,36","371,36","194,51","194,51","194,17","187,60","187,60","232,06",,,,,
28-03-2021,"242,88","197,24","197,24","197,24","216,85","197,24","232,29","255,34","380,36","380,36","380,36","197,24","197,24","197,24","197,24","197,24","216,85",,,,,
29-03-2021,"256,74","211,41","211,41","237,76","286,85","237,76","309,76","286,85","369,41","369,41","369,41","208,18","208,18","208,18","452,64","452,64","452,64",,,,,
30-03-2021,"264,96","185,39","185,39","272,16","405,22","273,80","457,04","420,15","388,75","388,75","388,75","185,39","185,39","185,39","460,36","460,36","460,36",,,,,
31-03-2021,"322,70","199,62","199,62","335,15","515,55","346,28","589,38","589,38","401,56","401,56","401,56","199,62","199,62","199,62","519,82","519,82","534,70",,,,,
1/4/2021,"299,14","186,62","186,62","323,57","427,34","351,34","465,85","479,36","396,64","396,64","396,64","186,62","186,62","186,62","440,63","440,63","462,91",,,,,
2/4/2021,"213,44","163,69","163,69","186,89","317,07","303,57","332,93","367,91","332,25","332,25","344,41","164,80","164,80","164,80","370,28","370,28","392,14",,,,,
3/4/2021,"245,93","184,82","184,82","199,10","302,91","206,90","395,45","360,68","368,98","368,98","368,98","184,82","184,82","184,82","273,01","273,01","302,91",,,,,
4/4/2021,"146,65","105,18","105,18","105,18","124,57","105,18","211,32","209,35","278,38","278,38","308,96","109,35","109,35","111,16","117,56","117,56","124,57",,,,,
5/4/2021,"58,05","69,68","69,68","71,46","71,46","71,46","-107,58","24,63","179,95","179,95","219,66","97,91","97,91","97,91","71,46","71,46","71,46",,,,,
6/4/2021,"280,45","189,32","189,32","291,73","299,04","326,25","294,43","299,04","368,62","331,19","366,39","189,82","189,82","189,82","348,27","348,27","348,27",,,,,
7/4/2021,"353,08","198,63","198,63","429,13","430,37","471,89","474,72","430,37","476,42","396,37","411,37","198,63","198,63","198,63","471,89","471,89","471,89",,,,,
8/4/2021,"401,32","291,88","291,88","462,41","462,41","493,37","449,75","462,41","479,26","398,27","419,92","291,88","291,88","291,88","511,69","511,69","511,69",,,,,
9/4/2021,"275,67","187,60","187,60","199,37","199,37","201,53","237,55","237,55","370,88","370,88","370,88","199,02","199,02","199,01","201,53","201,53","201,53",,,,,
10/4/2021,"349,61","201,44","201,44","201,44","430,37","201,44","541,08","541,08","413,86","413,86","413,86","202,58","202,58","202,58","381,10","381,10","430,37",,,,,
11/4/2021,"376,96","231,59","231,59","268,05","402,28","263,97","485,16","482,90","418,60","418,60","418,60","231,59","231,59","231,59","402,28","402,28","402,28",,,,,
12/4/2021,"411,36","233,65","233,65","387,05","425,34","412,33","450,82","438,00","447,32","447,32","447,32","233,65","233,65","233,65","420,33","420,33","426,07",,,,,
13-04-2021,"421,97","242,40","242,40","413,00","478,77","502,73","497,50","483,50","441,65","441,65","441,65","242,40","242,40","242,40","513,52","513,52","537,49",,,,,
14-04-2021,"458,71","241,10","241,10","574,13","623,64","574,13","686,04","686,04","586,21","561,80","489,49","242,93","242,93","241,10","574,75","574,75","623,64",,,,,
15-04-2021,"481,14","275,21","275,21","543,20","571,59","544,47","650,46","650,46","608,71","595,21","541,97","275,87","275,87","265,54","544,47","544,47","571,59",,,,,
16-04-2021,"475,98","300,52","300,52","437,16","472,07","481,45","552,26","552,26","523,53","522,47","484,71","300,52","300,52","271,58","481,45","481,45","496,96",,,,,
17-04-2021,"444,50","264,18","264,18","264,18","451,59","265,61","590,12","583,72","485,78","485,78","485,78","264,18","264,18","255,09","451,59","451,59","451,59",,,,,
18-04-2021,"433,75","250,25","250,25","250,25","480,22","250,96","614,30","572,93","489,58","489,58","489,58","250,25","250,25","250,25","480,22","480,22","480,22",,,,,
19-04-2021,"464,92","333,65","333,65","389,46","537,25","481,62","710,13","702,84","476,31","476,31","476,31","333,65","333,65","251,09","536,32","536,32","537,25",,,,,
20-04-2021,"433,75","257,56","257,56","273,38","631,30","478,98","752,55","725,63","460,06","460,06","460,06","258,31","258,31","252,19","631,30","631,30","631,30",,,,,
21-04-2021,"348,48","253,02","246,28","249,28","499,51","306,14","481,72","552,05","423,10","423,10","423,10","259,37","259,37","259,37","551,74","551,74","551,74",,,,,
22-04-2021,"285,06","195,12","177,42","214,55","293,12","328,12","326,73","325,94","406,13","406,13","406,33","222,75","222,75","222,75","370,30","370,30","370,30",,,,,
23-04-2021,"354,86","193,50","193,50","231,87","379,35","251,95","478,76","424,56","454,76","454,76","454,76","246,15","246,15","231,30","384,13","384,13","384,13",,,,,
24-04-2021,"355,21","179,98","179,98","179,98","366,44","179,98","490,16","490,16","463,09","463,09","463,09","241,44","241,44","235,73","366,44","366,44","366,44",,,,,
25-04-2021,"304,71","163,15","163,15","164,69","257,97","163,15","375,62","377,39","439,12","439,12","439,51","271,40","271,40","238,07","220,92","220,92","257,97",,,,,
26-04-2021,"567,62","496,92","496,92","509,60","550,53","568,81","617,02","617,02","573,55","570,12","573,55","554,25","554,25","497,01","581,55","581,55","581,55",,,,,
27-04-2021,"553,02","543,05","543,05","543,08","589,90","615,56","594,64","594,64","540,89","538,24","540,89","543,05","543,05","543,05","652,93","652,93","657,15",,,,,
28-04-2021,"582,65","581,49","581,49","581,49","590,87","606,32","598,66","598,66","578,56","574,00","578,56","581,49","581,49","581,49","647,73","647,73","649,96",,,,,
29-04-2021,"533,09","527,33","527,33","527,40","530,08","559,55","542,90","530,08","529,78","529,02","529,78","527,33","527,33","511,25","586,21","586,21","586,21",,,,,
30-04-2021,"497,45","422,20","422,20","511,75","600,51","511,75","663,98","622,85","552,20","552,20","552,20","422,20","422,20","421,51","552,37","552,37","600,51",,,,,
1/5/2021,"496,21","462,55","462,55","462,84","518,75","462,84","563,55","560,38","507,40","507,40","507,40","462,55","462,55","462,55","499,97","499,97","518,75",,,,,
2/5/2021,"463,54","456,84","456,84","456,84","470,92","456,84","469,76","484,71","466,52","466,52","466,52","456,84","456,84","456,84","456,94","456,94","470,92",,,,,
3/5/2021,"599,54","602,09","602,09","607,75","607,75","607,75","624,79","612,98","604,13","603,53","604,13","602,09","602,09","602,09","607,75","607,75","607,75",,,,,
4/5/2021,"440,05","401,29","401,29","401,29","401,29","623,07","302,60","401,29","453,08","451,74","453,08","401,29","401,29","401,29","623,07","623,07","623,07",,,,,
